episode_id,cluster_kmeans,episode_start_reason,n_events,duration_ms,n_trade,n_add,n_cancel,trade_ratio,add_ratio,cancel_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio
102,4,soft_dt_jump,10,0,0,10,0,0.0,0.8888888888888888,0.0,0.7,0.1,0.1,0.0
103,0,soft_dt_jump,32,0,29,3,0,0.90625,0.09375,0.0,0.9375,0.03125,0.03125,0.0
104,4,soft_dt_jump,15,10,7,6,2,0.4666666666666667,0.4,0.13333333333333333,0.6666666666666666,0.06666666666666667,0.0,0.0
105,4,soft_dt_jump,15,20,0,15,0,0.0,0.8888888888888888,0.0,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.0
106,4,soft_dt_jump,12,10,1,10,1,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.6666666666666666,0.25,0.25,0.0
107,4,soft_dt_jump,13,10,3,10,0,0.23076923076923078,0.7692307692307693,0.0,0.8461538461538461,0.07692307692307693,0.46153846153846156,0.0
108,0,soft_dt_jump,15,0,8,6,1,0.5333333333333333,0.4,0.06666666666666667,0.6666666666666666,0.2,0.6,0.0
109,4,soft_dt_jump,9,20,0,9,0,0.0,0.8888888888888888,0.0,0.7777777777777778,0.0,0.0,0.0
110,4,soft_side_flip_with_dt_jump,16,10,4,12,0,0.25,0.75,0.0,0.6875,0.125,0.375,0.0
111,4,soft_dt_jump,11,20,1,10,0,0.09090909090909091,0.8888888888888888,0.0,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.0
112,4,soft_dt_jump,22,10,3,18,1,0.13636363636363635,0.8181818181818182,0.045454545454545456,0.7727272727272727,0.09090909090909091,0.22727272727272727,0.0
113,4,soft_dt_jump,10,10,1,9,0,0.1,0.8888888888888888,0.0,0.7,0.2,0.2,0.0
114,4,soft_dt_jump,8,0,0,7,1,0.0,0.875,0.125,0.625,0.125,0.0,0.0
115,4,soft_dt_jump,17,10,1,16,0,0.058823529411764705,0.8888888888888888,0.0,0.4117647058823529,0.29411764705882354,0.058823529411764705,0.0
116,4,soft_dt_jump,8,0,1,7,0,0.125,0.875,0.0,0.75,0.125,0.25,0.0
117,4,soft_dt_jump,28,20,4,24,0,0.14285714285714285,0.8571428571428571,0.0,0.7142857142857143,0.25,0.21428571428571427,0.0
118,4,soft_dt_jump,11,0,5,6,0,0.45454545454545453,0.5454545454545454,0.0,1.0,0.0,0.0,0.0
119,4,soft_dt_jump,17,10,3,12,2,0.17647058823529413,0.7058823529411765,0.11764705882352941,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.0
120,4,soft_dt_jump,9,0,2,6,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0
121,4,soft_dt_jump,9,0,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0
122,4,soft_dt_jump,9,10,0,8,1,0.0,0.8888888888888888,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.0
123,4,soft_dt_jump,10,0,2,8,0,0.2,0.8,0.0,0.7,0.1,0.2,0.0
124,4,soft_dt_jump,11,10,2,9,0,0.18181818181818182,0.8181818181818182,0.0,0.7272727272727273,0.0,0.2727272727272727,0.0
125,4,soft_dt_jump,8,20,1,7,0,0.125,0.875,0.0,0.75,0.125,0.25,0.0
126,4,soft_dt_jump,19,30,6,13,0,0.3157894736842105,0.6842105263157895,0.0,0.6842105263157895,0.15789473684210525,0.3157894736842105,0.0
127,4,soft_dt_jump,15,10,1,14,0,0.06666666666666667,0.8888888888888888,0.0,0.7333333333333333,0.2,0.13333333333333333,0.0
128,4,soft_dt_jump,9,20,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0
129,4,soft_side_flip_with_dt_jump,9,0,3,5,1,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.0,0.2222222222222222,0.0
130,4,soft_dt_jump,10,20,4,6,0,0.4,0.6,0.0,0.9,0.0,0.4,0.0
131,4,soft_dt_jump,9,10,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0
132,4,soft_dt_jump,12,40,2,9,1,0.16666666666666666,0.75,0.08333333333333333,0.75,0.0,0.3333333333333333,0.0
133,4,soft_dt_jump,12,20,2,10,0,0.16666666666666666,0.8333333333333334,0.0,0.5833333333333334,0.25,0.16666666666666666,0.0
134,4,soft_dt_jump,11,20,1,10,0,0.09090909090909091,0.8888888888888888,0.0,0.8181818181818182,0.0,0.09090909090909091,0.0
135,4,soft_dt_jump,13,30,2,11,0,0.15384615384615385,0.8461538461538461,0.0,0.6923076923076923,0.23076923076923078,0.15384615384615385,0.0
136,7,soft_dt_jump,64,0,60,4,0,0.9375,0.0625,0.0,0.125,0.84375,0.109375,0.0
137,7,max_events_per_episode,64,0,64,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
138,4,max_events_per_episode,12,20,4,8,0,0.3333333333333333,0.6666666666666666,0.0,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.0
139,4,soft_dt_jump,9,20,0,8,1,0.0,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0
140,0,soft_side_flip_with_dt_jump,28,50,16,12,0,0.5714285714285714,0.42857142857142855,0.0,0.8928571428571429,0.03571428571428571,0.17857142857142858,0.0
141,4,soft_dt_jump,8,20,2,6,0,0.25,0.75,0.0,0.625,0.125,0.25,0.0
142,4,soft_dt_jump,12,20,3,8,1,0.25,0.6666666666666666,0.08333333333333333,0.5,0.16666666666666666,0.25,0.0
143,4,soft_dt_jump,11,10,3,8,0,0.2727272727272727,0.7272727272727273,0.0,0.6363636363636364,0.18181818181818182,0.5454545454545454,0.0
144,4,soft_dt_jump,9,10,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0
145,4,soft_dt_jump,12,20,2,8,2,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.25,0.0
146,4,soft_dt_jump,11,30,2,8,1,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.7272727272727273,0.0,0.2727272727272727,0.0
147,4,soft_dt_jump,15,30,1,12,2,0.06666666666666667,0.8,0.13333333333333333,0.5333333333333333,0.06666666666666667,0.13333333333333333,0.0
148,4,soft_dt_jump,9,10,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0
149,4,soft_dt_jump,18,100,2,14,2,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.5,0.05555555555555555,0.1111111111111111,0.0
150,4,soft_dt_jump,12,20,1,10,1,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.25,0.0
151,4,soft_dt_jump,9,20,0,9,0,0.0,0.8888888888888888,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0
152,4,soft_dt_jump,9,20,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0
153,4,soft_dt_jump,9,10,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0
154,4,soft_dt_jump,9,10,0,7,2,0.0,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0
155,4,soft_dt_jump,8,20,1,7,0,0.125,0.875,0.0,0.375,0.125,0.25,0.0
156,4,soft_side_flip_with_dt_jump,9,20,2,6,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.0
157,4,soft_dt_jump,11,30,2,9,0,0.18181818181818182,0.8181818181818182,0.0,0.8181818181818182,0.0,0.2727272727272727,0.0
158,4,soft_dt_jump,11,20,2,9,0,0.18181818181818182,0.8181818181818182,0.0,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.0
159,4,soft_dt_jump,12,60,1,9,2,0.08333333333333333,0.75,0.16666666666666666,0.5,0.08333333333333333,0.0,0.0
