episode_id,symbol,session_bucket_std,episode_start_reason,is_too_short_episode,start_event_idx,end_event_idx,start_time_ms,end_time_ms,n_events,duration_ms,n_trade,n_add,n_cancel,buy_like_ratio,sell_like_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio,mean_dt_ms,median_dt_ms,max_dt_ms,mean_qty_log1p,mean_spread_abs,mean_top_depth_total,mean_top_depth_imbalance,delta_snap_last,delta_depth_total,delta_depth_imbalance,trade_ratio,add_ratio,cancel_ratio,side_imbalance,top1_pos_imbalance,n_events_log1p,duration_ms_log1p,n_trade_log1p,n_add_log1p,n_cancel_log1p,mean_dt_ms_log1p,median_dt_ms_log1p,max_dt_ms_log1p,mean_spread_abs_log1p,mean_top_depth_total_log1p,cluster_kmeans
21,000001,continuous_am,soft_dt_jump,0,4312,4332,34200220,34200220,21,0,6,13,2,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.09523809523809523,0.3333333333333333,0.0,0.47619047619047616,0.0,10.0,7.657253623694492,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.2857142857142857,0.6190476190476191,0.09523809523809523,0.047619047619047616,-0.23809523809523808,3.091042453358316,0.0,1.9459101490553132,2.6390573296152584,1.0986122886681098,0.38946476676172326,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
22,000001,continuous_am,soft_dt_jump,0,4333,4350,34200230,34200230,18,0,4,11,3,0.0,0.6111111111111112,0.6111111111111112,0.16666666666666666,0.1111111111111111,0.0,0.5555555555555556,0.0,10.0,7.409274666516627,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.2222222222222222,0.6111111111111112,0.16666666666666666,-0.6111111111111112,0.05555555555555555,2.9444389791664403,0.0,1.6094379124341003,2.4849066497880004,1.3862943611198906,0.44183275227903923,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
23,000001,continuous_am,soft_dt_jump,0,4351,4367,34200240,34200240,17,0,8,8,1,0.29411764705882354,0.17647058823529413,0.7647058823529411,0.11764705882352941,0.17647058823529413,0.0,0.5882352941176471,0.0,10.0,7.646415462081787,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.11764705882352941,-0.05882352941176472,2.8903717578961645,0.0,2.1972245773362196,2.1972245773362196,0.6931471805599453,0.462623521948113,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
24,000001,continuous_am,soft_dt_jump,0,4368,4381,34200250,34200250,14,0,1,13,0,0.35714285714285715,0.5714285714285714,0.5,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,10.0,6.901718601454773,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.07142857142857142,0.8888888888888888,0.0,-0.21428571428571425,0.2857142857142857,2.70805020110221,0.0,0.6931471805599453,2.6390573296152584,0.0,0.538996500732687,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
25,000001,continuous_am,soft_dt_jump,0,4382,4405,34200260,34200260,24,0,3,18,3,0.2916666666666667,0.4583333333333333,0.4583333333333333,0.20833333333333334,0.08333333333333333,0.0,0.4166666666666667,0.0,10.0,6.660109464652449,0.009999999999999787,124700.0,0.05212510024057739,0.0,0.0,0.0,0.125,0.75,0.125,-0.16666666666666663,0.125,3.2188758248682006,0.0,1.3862943611198906,2.9444389791664403,1.3862943611198906,0.3483066942682158,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
26,000001,continuous_am,soft_dt_jump,0,4406,4426,34200270,34200270,21,0,3,18,0,0.3333333333333333,0.5238095238095238,0.38095238095238093,0.5238095238095238,0.0,0.0,0.47619047619047616,0.0,10.0,7.048821968715634,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,-0.19047619047619052,0.5238095238095238,3.091042453358316,0.0,1.3862943611198906,2.9444389791664403,0.0,0.38946476676172326,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
27,000001,continuous_am,soft_dt_jump,0,4427,4437,34200280,34200280,11,0,0,8,3,0.09090909090909091,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.9090909090909091,0.0,10.0,7.1551490628529,0.009999999999999787,124700.0,0.05212510024057738,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,-0.5454545454545454,0.0,2.4849066497880004,0.0,0.0,2.1972245773362196,1.3862943611198906,0.6466271649250525,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
28,000001,continuous_am,soft_dt_jump,0,4438,4449,34200290,34200290,12,0,1,8,3,0.5833333333333334,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.0,0.8333333333333334,0.0,10.0,7.44386317592116,0.009999999999999787,124700.0,0.05212510024057739,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666,0.25,0.5,0.08333333333333333,2.5649493574615367,0.0,0.6931471805599453,2.1972245773362196,1.3862943611198906,0.6061358035703156,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
29,000001,continuous_am,soft_dt_jump,0,4450,4466,34200300,34200300,17,0,3,13,1,0.23529411764705882,0.5294117647058824,0.6470588235294118,0.17647058823529413,0.11764705882352941,0.0,0.5882352941176471,0.0,10.0,6.629594398876794,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.17647058823529413,0.7647058823529411,0.058823529411764705,-0.29411764705882354,0.05882352941176472,2.8903717578961645,0.0,1.3862943611198906,2.6390573296152584,0.6931471805599453,0.462623521948113,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
30,000001,continuous_am,soft_dt_jump,0,4467,4477,34200310,34200310,11,0,3,8,0,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.0,0.9090909090909091,0.0,10.0,7.395722750960304,0.009999999999999787,124700.0,0.05212510024057738,0.0,0.0,0.0,0.2727272727272727,0.7272727272727273,0.0,-0.18181818181818182,0.0,2.4849066497880004,0.0,1.3862943611198906,2.1972245773362196,0.0,0.6466271649250525,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
31,000001,continuous_am,soft_dt_jump,0,4478,4491,34200320,34200320,14,0,2,12,0,0.42857142857142855,0.42857142857142855,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.0,0.7142857142857143,0.0,10.0,6.991900649418855,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.07142857142857142,2.70805020110221,0.0,1.0986122886681098,2.5649493574615367,0.0,0.538996500732687,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
32,000001,continuous_am,soft_dt_jump,0,4492,4502,34200330,34200330,11,0,1,6,4,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.0,0.9090909090909091,0.0,10.0,6.620500161417311,0.009999999999999787,124700.0,0.05212510024057738,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0.18181818181818182,2.4849066497880004,0.0,0.6931471805599453,1.9459101490553132,1.6094379124341003,0.6466271649250525,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
33,000001,continuous_am,soft_dt_jump,0,4503,4518,34200340,34200350,16,10,3,11,2,0.125,0.5625,0.5625,0.25,0.0625,0.0,1.25,0.0,10.0,7.172238061054254,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.1875,0.6875,0.125,-0.4375,0.1875,2.833213344056216,2.3978952727983707,1.3862943611198906,2.4849066497880004,1.0986122886681098,0.8109302162163288,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
